Achromobacter xylosoxidans
Acidovorax delafieldii
Acidovorax temperans
Acinetobacter baumannii
Acinetobacter beijerinckii
Acinetobacter bereziniae
Acinetobacter bohemicus
Acinetobacter bouvetii
Acinetobacter brisouii
Acinetobacter gerneri
Acinetobacter gyllenbergii
Acinetobacter harbinensis
Acinetobacter indicus
Acinetobacter johnsonii
Acinetobacter lwoffii
Acinetobacter parvus
Acinetobacter pittii
Acinetobacter radioresistens
Acinetobacter rudis
Acinetobacter schindleri
Acinetobacter soli
Acinetobacter sp.
Acinetobacter tandoii
Acinetobacter towneri
Acinetobacter ursingii
Acinetobacter venetianus
Actinomyces massiliensis
Actinomyces oris
Actinopolyspora erythraea
Aerococcus viridans
Aeromonas hydrophila
Aeromonas molluscorum
Aeromonas salmonicida
Aeromonas simiae
Aeromonas veronii
Afipia broomeae
Agrobacterium tumefaciens
Alcanivorax hongdengensis
Aliiglaciecola lipolytica
Alishewanella agri
Alteromonas stellipolaris
Aquabacterium parvum
Arthrobacter sp.
Atlantibacter hermannii
Aureimonas altamirensis
Azorhizobium doebereinerae
Azospira oryzae
Azospirillum brasilense
Bacillus anthracis
Bacillus cereus
Bacillus mycoides
Bacillus sp.
Bacillus subtilis
Bacillus thuringiensis
Bacteroides fluxus
Bacteroides neonati
Bavariicoccus seileri
Bibersteinia trehalosi
Bifidobacterium pseudolongum
Bifidobacterium subtile
Bosea thiooxidans
Brachybacterium muris
Brachybacterium paraconglomeratum
Brachymonas chironomi
Bradyrhizobium japonicum
Bradyrhizobium lablabi
Bradyrhizobium manausense
Bradyrhizobium sp.
Bradyrhizobium viridifuturi
Brevundimonas nasdae
Burkholderia gladioli
Campylobacter mucosalis
Cardiobacterium hominis
Catellicoccus marimammalium
Catenibacterium mitsuokai
Cedecea neteri
Chryseobacterium angstadtii
Chryseobacterium indologenes
Chryseobacterium koreense
Chryseobacterium sp.
Citrobacter freundii
Clostridium ihumii
Clostridium lundense
Comamonas aquatica
Comamonas kerstersii
Comamonas sp.
Comamonas testosteroni
Corynebacterium accolens
Corynebacterium bovis
Corynebacterium camporealensis
Corynebacterium casei
Corynebacterium freneyi
Corynebacterium lipophiloflavum
Corynebacterium pilosum
Corynebacterium pseudodiphtheriticum
Corynebacterium pseudogenitalium
Corynebacterium variabile
Corynebacterium xerosis
Cronobacter sakazakii
Cupriavidus metallidurans
Curtobacterium flaccumfaciens
Curvibacter lanceolatus
Cutibacterium acnes
Cutibacterium granulosum
Cyanothece sp.
Deinococcus radiodurans
Delftia acidovorans
Dermacoccus sp.
Desulfocarbo indianensis
Dickeya dadantii
Dolosigranulum pigrum
Elizabethkingia anophelis
Empedobacter brevis
Enterobacter cloacae
Enterobacter sp.
Enterococcus asini
Enterococcus avium
Enterococcus cecorum
Enterococcus columbae
Enterococcus durans
Enterococcus faecalis
Enterococcus faecium
Enterococcus italicus
Erwinia oleae
Erwinia persicina
Erwinia sp.
Erwinia typographi
Erysipelotrichaceae bacterium
Erythrobacter litoralis
Escherichia coli
Franconibacter pulveris
Frigoribacterium sp.
Fusobacterium necrophorum
Gallaecimonas xiamenensis
Gemella haemolysans
Geobacillus kaustophilus
Haematobacter massiliensis
Haemophilus influenzae
Hydrogenophaga intermedia
Hydrogenophaga sp.
Hyphomicrobium zavarzinii
Janibacter hoylei
Jeotgalicoccus psychrophilus
Klebsiella aerogenes
Klebsiella oxytoca
Klebsiella pneumoniae
Kluyvera ascorbata
Kluyvera cryocrescens
Kluyvera intermedia
Knoellia aerolata
Kocuria marina
Kocuria palustris
Kocuria sp.
Kosakonia sacchari
Kytococcus sedentarius
Lachnospiraceae bacterium
Lactobacillus crispatus
Lactococcus garvieae
Lactococcus lactis
Lactococcus piscium
Leclercia adecarboxylata
Leifsonia sp.
Leucobacter celer
Leucobacter chromiiresistens
Leuconostoc kimchii
Leuconostoc lactis
Leuconostoc pseudomesenteroides
Listeria monocytogenes
Luteimonas huabeiensis
Mangrovibacter sp.
Mannheimia haemolytica
Marinococcus halotolerans
Massilia timonae
Mesorhizobium sp.
Methylobacterium radiotolerans
Methyloglobulus morosus
Methylophaga frappieri
Methylorubrum extorquens
Microbacterium barkeri
Microbacterium paraoxydans
Micrococcus luteus
Micromonospora sp.
Microvirga sp.
Moraxella osloensis
Morganella morganii
Mycobacterium sp.
Mycobacterium tuberculosis
Neisseria meningitidis
Nitratireductor indicus
Obesumbacterium proteus
Ornithobacterium rhinotracheale
Paenarthrobacter aurescens
Paenibacillus sp.
Pannonibacter phragmitetus
Pantoea agglomerans
Pantoea ananatis
Pantoea dispersa
Pantoea rwandensis
Pantoea sp.
Pantoea vagans
Paraburkholderia phymatum
Paracoccus sanguinis
Paracoccus yeei
Paraglaciecola polaris
Pelomonas sp.
Peptoniphilus indolicus
Plautia stali
Pluralibacter gergoviae
Porphyromonas levii
Porphyromonas somerae
Porphyromonas sp.
Prevotella histicola
Prevotella melaninogenica
Prevotella sp.
Proteus mirabilis
Pseudescherichia vulneris
Pseudochrobactrum sp.
