GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A0H2V8B5	TcpC	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	199310	UniProt		C
UniProtKB	A0A0H2VAQ6	papGII	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	199310	UniProt		C
UniProtKB	A0A0H2VAQ6	papGII	located_in	GO:0009289	pilus	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR036937|UniProtKB-KW:KW-0281|UniProtKB-SubCell:SL-0113	199310	UniProt		C
UniProtKB	A0A0H2VCA1	upaG	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040	199310	UniProt		C
UniProtKB	A0A0H2XDF9	esxD	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	367830	UniProt		C
UniProtKB	A0A0H2XI99	esxA	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	367830	UniProt		C
UniProtKB	A0A0H2XIE9	esxB	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	367830	UniProt		C
UniProtKB	A0A0H2XIK2	esxC	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	367830	UniProt		C
UniProtKB	A0A0H2XIV9	essD	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	367830	UniProt		C
UniProtKB	A0A0H2XKG3	fnbB	located_in	GO:0005576	extracellular region	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0964	367830	UniProt		C
